transaction_id,amount,merchant_category,transaction_hour,customer_age,account_balance,is_foreign_transaction,is_weekend,num_transactions_today,is_fraud
TXN000001,2133.37,Fuel,0,57,9607.13,0,1,5,0
TXN000002,25.93,Restaurant,12,52,14375.23,0,1,4,0
TXN000003,59.19,Entertainment,18,34,173172.68,0,0,5,0
TXN000004,90.19,Grocery,8,38,13093.41,0,0,6,0
TXN000005,326.75,Restaurant,15,52,18133.81,0,1,5,0
TXN000006,29.63,Online_Shopping,14,46,1633.34,0,0,4,0
TXN000007,119.43,Grocery,8,48,25924.56,0,0,5,0
TXN000008,107.7,Travel,2,61,48473.8,0,0,6,0
TXN000009,204.35,Online_Shopping,8,50,3512.61,0,1,6,0
TXN000010,84.21,Grocery,11,38,2237.78,0,0,4,0
TXN000011,739.94,Healthcare,14,50,34399.47,0,0,7,0
TXN000012,156.54,Online_Shopping,7,60,10772.8,0,0,6,0
TXN000013,21.33,Restaurant,20,31,8875.2,0,1,5,0
TXN000014,348.59,Healthcare,16,58,21217.35,0,0,5,0
TXN000015,138.76,Online_Shopping,20,64,15456.82,0,0,6,0
TXN000016,30.91,Restaurant,7,48,46929.06,0,0,2,0
TXN000017,192.35,Online_Shopping,16,44,5707.05,1,0,6,0
TXN000018,4368.58,Fuel,23,48,2281.93,0,0,19,1
TXN000019,145.3,Online_Shopping,14,64,7475.85,0,0,1,0
TXN000020,151.89,Online_Shopping,9,48,41751.45,0,0,4,0
TXN000021,773.31,Restaurant,0,54,1166.44,0,0,12,1
TXN000022,272.05,Fuel,16,31,30562.75,0,0,1,0
TXN000023,239.07,Healthcare,10,67,1521.73,0,0,3,0
TXN000024,425.92,Travel,9,59,21711.7,0,0,7,0
TXN000025,18.15,Online_Shopping,11,46,12687.61,0,0,3,0
TXN000026,895.99,Online_Shopping,3,63,5562.11,0,0,11,1
TXN000027,195.25,Healthcare,6,50,37228.98,0,0,6,0
TXN000028,448.68,Travel,23,45,10225.14,0,1,1,0
TXN000029,69.48,Healthcare,18,66,6557.54,0,0,6,0
TXN000030,104.14,Grocery,18,59,4040.17,0,0,6,0
TXN000031,183.86,Grocery,9,28,4629.43,0,1,2,0
TXN000032,100.93,Restaurant,9,32,9009.16,0,0,5,0
TXN000033,409.04,Online_Shopping,14,42,2717.14,0,0,6,0
TXN000034,151.62,Restaurant,16,33,49742.32,0,1,1,0
TXN000035,96.33,Online_Shopping,14,36,7393.56,0,1,2,0
TXN000036,75.28,Restaurant,23,68,22014.38,0,0,7,0
TXN000037,571.57,Restaurant,22,42,8393.16,0,0,2,0
TXN000038,270.81,Online_Shopping,16,25,11184.59,0,0,4,0
TXN000039,99.89,Entertainment,7,25,14508.44,0,1,5,0
TXN000040,13.71,Healthcare,14,68,5698.42,0,0,7,0
TXN000041,158.03,Restaurant,14,31,3778.71,0,1,7,0
TXN000042,20.8,Grocery,14,56,597.16,0,0,3,0
TXN000043,18.39,Grocery,12,44,63883.17,0,0,3,0
TXN000044,9.58,Grocery,15,48,15027.1,0,1,7,0
TXN000045,27.2,Grocery,9,46,18211.89,0,0,1,0
TXN000046,114.0,Restaurant,16,34,15685.94,1,1,4,0
TXN000047,64.37,Travel,2,64,5138.96,0,0,6,0
TXN000048,18.1,Restaurant,5,56,23937.83,0,1,3,0
TXN000049,644.17,Travel,17,58,4057.93,0,0,4,0
TXN000050,987.13,Grocery,13,53,13612.62,0,1,5,0
TXN000051,10.55,Fuel,5,36,68140.33,0,0,3,0
TXN000052,26.98,Grocery,18,43,66329.4,0,1,2,0
TXN000053,177.71,Online_Shopping,13,59,15749.48,0,0,3,0
TXN000054,28.91,Grocery,5,65,14539.34,0,0,4,0
TXN000055,155.12,Healthcare,0,37,6109.03,0,0,3,0
TXN000056,541.61,Fuel,10,58,21878.6,0,0,1,0
TXN000057,70.25,Grocery,13,36,83842.38,0,0,6,0
TXN000058,430.93,Online_Shopping,2,33,15189.83,0,0,4,0
TXN000059,151.34,Restaurant,11,44,18647.17,0,0,3,0
TXN000060,85.51,Restaurant,15,54,2613.75,0,1,3,0
TXN000061,174.18,Online_Shopping,6,40,28696.43,0,0,5,0
TXN000062,309.92,Restaurant,11,28,84909.33,0,1,5,0
TXN000063,30.74,Fuel,14,43,22128.76,0,1,6,0
TXN000064,111.0,Restaurant,21,27,30723.13,0,0,6,0
TXN000065,18.65,Healthcare,13,46,12508.66,0,0,2,0
TXN000066,192.22,Healthcare,12,30,2660.91,0,0,4,0
TXN000067,75.11,Fuel,9,44,48565.65,0,0,1,0
