X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95,X96,Y96,X97,Y97,X98,Y98,X99,Y99,X100,Y100,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,qW,Total_Power
1000,0,946.08,37.42,889.67,74.76,832.02,112.1,1250,1,1300,1,1350,1,1400,1,400,200,346.08,237.42,289.67,274.76,232.02,312.1,800,200,746.08,237.42,689.67,274.76,632.02,312.1,1000,200,946.08,237.42,889.67,274.76,832.02,312.1,1200,200,1146.08,237.42,1089.67,274.76,1032.02,312.1,1250,200,1300,200,1350,200,1400,200,200,400,146.08,437.42,89.67,474.76,32.02,512.1,400,400,346.08,437.42,289.67,474.76,232.02,512.1,1400,400,1346.08,437.42,1289.67,474.76,1232.02,512.1,600,600,546.08,637.42,489.67,674.76,432.02,712.1,800,600,746.08,637.42,689.67,674.76,632.02,712.1,1000,600,946.08,637.42,889.67,674.76,832.02,712.1,1200,600,1146.08,637.42,1089.67,674.76,1032.02,712.1,1400,600,1346.08,637.42,1289.67,674.76,1232.02,712.1,200,800,146.08,837.42,89.67,874.76,32.02,912.1,400,800,346.08,837.42,289.67,874.76,232.02,912.1,1200,800,1146.08,837.42,1089.67,874.76,1032.02,912.1,400,1000,346.08,1037.42,289.67,1074.76,232.02,1112.1,600,1000,546.08,1037.42,489.67,1074.76,432.02,1112.1,800,1000,746.08,1037.42,689.67,1074.76,632.02,1112.1,200,1200,146.08,1237.42,89.67,1274.76,32.02,1312.1,400,1200,346.08,1237.42,289.67,1274.76,232.02,1312.1,600,1200,546.08,1237.42,489.67,1274.76,432.02,1312.1,1200,1200,1146.08,1237.42,1089.67,1274.76,1032.02,1312.1,54733.98,48754.87,47691.48,44423.11,65183.3,71391.03,80908.62,97057.3,49442.11,47592.17,45317.2,41226.02,48073.92,52141.32,54123.75,54036.8,53585.53,56163.6,58281.5,58131.07,66773.61,70812.83,64555.25,61093.29,70300.39,74876.36,81073.69,96589.11,41725.79,44104.78,46606.89,46430.54,50907.73,50911.13,50767.55,50094.44,99102.7,91820.45,81998.11,74641.13,59722.44,66545.82,67597.48,64968.98,61228.59,69527.41,77361.07,77496.34,61046.8,66421.73,74773.54,77886.59,75051.26,78164.24,78516.67,73759.62,99123.04,101844.94,101574.48,98434.24,45771.64,47893.88,55282.07,60552.8,60029.59,55439.75,52523.4,51846.81,98494.57,100081.81,94801.03,87468.51,61077.73,63369.07,68083.3,68485.97,72387.54,78953,79879.67,76741,85671.51,92378.94,96622.74,99718.68,74610.77,89022.45,98876.41,100997.15,76776.14,88264.89,99090.33,100714.51,98711.68,102872.82,100743.44,99259.87,98909.46,101388.37,101025.35,98676.66,0.75,7257985.04
800,0,746.04,37.38,689.81,74.79,632.43,111.97,1200,0,1146.04,37.38,1089.81,74.79,1032.43,111.97,1400,0,1346.04,37.38,1289.81,74.79,1232.43,111.97,400,200,346.04,237.38,289.81,274.79,232.43,311.97,800,200,746.04,237.38,689.81,274.79,632.43,311.97,1400,200,1346.04,237.38,1289.81,274.79,1232.43,311.97,200,400,146.04,437.38,89.81,474.79,32.43,511.97,400,400,346.04,437.38,289.81,474.79,232.43,511.97,600,400,546.04,437.38,489.81,474.79,432.43,511.97,800,400,746.04,437.38,689.81,474.79,632.43,511.97,1000,400,946.04,437.38,889.81,474.79,832.43,511.97,1400,400,1346.04,437.38,1289.81,474.79,1232.43,511.97,400,600,346.04,637.38,289.81,674.79,232.43,711.97,800,600,746.04,637.38,689.81,674.79,632.43,711.97,1200,600,1146.04,637.38,1089.81,674.79,1032.43,711.97,1400,600,1346.04,637.38,1289.81,674.79,1232.43,711.97,400,800,346.04,837.38,289.81,874.79,232.43,911.97,1200,800,1146.04,837.38,1089.81,874.79,1032.43,911.97,1400,800,1346.04,837.38,1289.81,874.79,1232.43,911.97,600,1000,546.04,1037.38,489.81,1074.79,432.43,1111.97,800,1000,746.04,1037.38,689.81,1074.79,632.43,1111.97,1200,1000,1146.04,1037.38,1089.81,1074.79,1032.43,1111.97,200,1200,146.04,1237.38,89.81,1274.79,32.43,1311.97,400,1200,346.04,1237.38,289.81,1274.79,232.43,1311.97,800,1200,746.04,1237.38,689.81,1274.79,632.43,1311.97,50663.35,47923.79,42759.78,39447.59,56419.64,56440.21,57735.6,56734.77,98573.32,89715.58,76295.73,63803.84,41561.57,41517.38,41258.24,39907.82,47960.13,44280.74,44067.57,42834.22,98307.69,89313.36,76672.11,64383.82,41596.86,44552.13,50412.82,53486.55,47796.29,50541.56,50566.25,48745.25,46703.33,52261.9,60218.06,62316.64,48153.55,51892.3,56694.08,57725.98,53434.95,53320.75,56804.61,58874.01,98466.36,90062.34,77531.43,66888.42,62910.73,59893.74,55486.78,51953.24,69504.48,76942.7,77451.09,76177.32,61561.61,61965.57,62570.51,61425.74,99148.81,91728.86,82723.71,74968.18,60972.73,62343.43,66636.21,70506.39,74898.82,78428.86,79292.07,76350.23,98946.85,101548.56,101403.6,99105.81,64212.49,71303.86,81975.52,88444.6,95781.21,92008.32,82368.35,76268.16,98885.19,101472.18,100938.49,99311.72,77025.21,88433.43,98070.51,100928.67,96351.38,102253.02,101744.2,99482.45,99304.59,101953.23,100878.42,99508.49,0.74,7103374.61
600,0,545.98,37.5,489.87,74.95,432.52,112.15,650,0,700,0,750,0,800,0,1200,0,1145.98,37.5,1089.87,74.95,1032.52,112.15,1250,1,1300,1,1350,1,1400,1,400,200,345.98,237.5,289.87,274.95,232.52,312.15,1200,200,1145.98,237.5,1089.87,274.95,1032.52,312.15,1250,200,1300,200,1350,200,1400,200,800,400,745.98,437.5,689.87,474.95,632.52,512.15,1000,400,945.98,437.5,889.87,474.95,832.52,512.15,1200,400,1145.98,437.5,1089.87,474.95,1032.52,512.15,1400,400,1345.98,437.5,1289.87,474.95,1232.52,512.15,600,600,545.98,637.5,489.87,674.95,432.52,712.15,1200,600,1145.98,637.5,1089.87,674.95,1032.52,712.15,200,800,145.98,837.5,89.87,874.95,32.52,912.15,400,800,345.98,837.5,289.87,874.95,232.52,912.15,600,800,545.98,837.5,489.87,874.95,432.52,912.15,800,800,745.98,837.5,689.87,874.95,632.52,912.15,1000,800,945.98,837.5,889.87,874.95,832.52,912.15,200,1000,145.98,1037.5,89.87,1074.95,32.52,1112.15,400,1000,345.98,1037.5,289.87,1074.95,232.52,1112.15,1200,1000,1145.98,1037.5,1089.87,1074.95,1032.52,1112.15,200,1200,145.98,1237.5,89.87,1274.95,32.52,1312.15,400,1200,345.98,1237.5,289.87,1274.95,232.52,1312.15,600,1200,545.98,1237.5,489.87,1274.95,432.52,1312.15,1000,1200,945.98,1237.5,889.87,1274.95,832.52,1312.15,45344.28,50382.06,49730.59,47479.82,45249.27,46029.05,47265.63,50837.43,61372.69,63476.63,54911.88,51642.19,66198.89,72296.97,81057.47,96059.61,48104.97,47773.93,47852.86,47024,73035.91,73461.93,64019.72,59198.32,74858.57,77288.29,83274.95,97950.83,54781.67,60359.92,62215.26,60337.57,60418.8,64738.63,68715.86,68040.84,75590.13,77972.22,78046.74,72359.29,99687.03,101865.41,101528.65,98488.75,57122.56,55388.24,55811.81,56890.17,99601.22,100206.62,94821.93,87200.45,48202.43,47668.99,48754.29,49187.21,60534.27,63035.11,61881.12,55954.49,62866.39,75461.67,80406.6,80858.63,62539.15,69488.89,78433.48,84645.8,79231.05,77086.96,77556.53,76564.63,54974.37,58377.94,64249.5,67874.29,75409.48,70846.43,69444.18,68072.88,99158.28,101608.39,101217.42,99217.28,74576.75,88184.98,99820.45,100943.56,76367.2,89149.28,98773.72,100717.3,96985.29,102472.8,101757.63,99429.45,98709.14,101312.44,100979.86,99024.16,0.76,7335380.64
600,0,546.09,37.41,489.7,74.76,432.35,111.9,800,0,746.09,37.41,689.7,74.76,632.35,111.9,1200,0,1146.09,37.41,1089.7,74.76,1032.35,111.9,1400,0,1346.09,37.41,1289.7,74.76,1232.35,111.9,200,200,146.09,237.41,89.7,274.76,32.35,311.9,800,200,746.09,237.41,689.7,274.76,632.35,311.9,1000,200,946.09,237.41,889.7,274.76,832.35,311.9,600,400,546.09,437.41,489.7,474.76,432.35,511.9,800,400,746.09,437.41,689.7,474.76,632.35,511.9,1200,400,1146.09,437.41,1089.7,474.76,1032.35,511.9,1250,400,1300,400,1350,400,1400,400,200,600,146.09,637.41,89.7,674.76,32.35,711.9,600,600,546.09,637.41,489.7,674.76,432.35,711.9,1400,600,1346.09,637.41,1289.7,674.76,1232.35,711.9,800,800,746.09,837.41,689.7,874.76,632.35,911.9,1200,800,1146.09,837.41,1089.7,874.76,1032.35,911.9,200,1000,146.09,1037.41,89.7,1074.76,32.35,1111.9,400,1000,346.09,1037.41,289.7,1074.76,232.35,1111.9,600,1000,546.09,1037.41,489.7,1074.76,432.35,1111.9,1400,1000,1346.09,1037.41,1289.7,1074.76,1232.35,1111.9,200,1200,146.09,1237.41,89.7,1274.76,32.35,1311.9,600,1200,546.09,1237.41,489.7,1274.76,432.35,1311.9,800,1200,746.09,1237.41,689.7,1274.76,632.35,1311.9,1000,1200,946.09,1237.41,889.7,1274.76,832.35,1311.9,1200,1200,1146.09,1237.41,1089.7,1274.76,1032.35,1311.9,37532.2,38588.53,41146.26,42338.71,48776.09,45566.45,43988.1,41742.7,66151.2,67024.3,66286.03,62148.94,98298.41,98589.07,91904.76,78829.02,44967.01,45804.35,46370.77,45026.53,47842.99,51534.08,53237.68,50718.56,56805.41,56072.83,58198.57,59691.64,49806.4,50415.25,49603.92,46863,65101.82,66314.3,63368.17,61009.86,71389.4,75153.42,69256.85,67277.56,74074.36,75456.26,81163.54,97015.43,51735.03,54100.28,54127.17,52908.69,56930.16,56134.04,54834.14,54654.98,99540.45,100228.68,94900.24,86519.06,70743.03,73801.98,69752.19,66327.25,79197.27,77473.39,77561.78,77236.71,62913.29,70995.23,76076.62,76519.86,54513.56,64520.66,79531.54,87558.74,66286.06,65134.8,64941.69,68736.54,99114.39,101288.62,101347.63,99162.6,96611.04,103533.87,101281.18,99303.4,74822.63,89608.64,98644.78,100568.93,75336.31,88605.61,98623.65,101521.63,76823.85,88005.41,98779.92,100260.3,98744.25,101144.58,100835.43,98915.38,0.75,7187769.87
600,0,545.95,37.52,489.69,74.99,432.46,112.16,800,0,745.95,37.52,689.69,74.99,632.46,112.16,1200,0,1145.95,37.52,1089.69,74.99,1032.46,112.16,1250,0,1300,0,1350,0,1400,0,200,200,145.95,237.52,89.69,274.99,32.46,312.16,400,200,345.95,237.52,289.69,274.99,232.46,312.16,1000,200,945.95,237.52,889.69,274.99,832.46,312.16,1400,200,1345.95,237.52,1289.69,274.99,1232.46,312.16,200,400,145.95,437.52,89.69,474.99,32.46,512.16,600,400,545.95,437.52,489.69,474.99,432.46,512.16,800,400,745.95,437.52,689.69,474.99,632.46,512.16,1200,400,1145.95,437.52,1089.69,474.99,1032.46,512.16,1250,400,1300,400,1350,400,1400,400,800,600,745.95,637.52,689.69,674.99,632.46,712.16,1000,600,945.95,637.52,889.69,674.99,832.46,712.16,1200,600,1145.95,637.52,1089.69,674.99,1032.46,712.16,1400,600,1345.95,637.52,1289.69,674.99,1232.46,712.16,200,800,145.95,837.52,89.69,874.99,32.46,912.16,400,800,345.95,837.52,289.69,874.99,232.46,912.16,600,1000,545.95,1037.52,489.69,1074.99,432.46,1112.16,800,1000,745.95,1037.52,689.69,1074.99,632.46,1112.16,200,1200,145.95,1237.52,89.69,1274.99,32.46,1312.16,400,1200,345.95,1237.52,289.69,1274.99,232.46,1312.16,600,1200,545.95,1237.52,489.69,1274.99,432.46,1312.16,1200,1200,1145.95,1237.52,1089.69,1274.99,1032.46,1312.16,40394.57,43257.7,45367,45770.38,46759.41,47526.71,48068.74,47376.71,64044.93,65524.43,58464.25,54043.33,68491.4,73856.62,81583.61,97181.29,42460.24,44929.11,46984.89,46038.34,46833.68,48063.05,51534.57,53961.37,55623.24,57632.02,57472.59,57840.85,97564.31,88342.35,72608.48,59557.67,57348.6,57796.74,54084,50937.39,48650.92,54456.89,62205.8,65179.05,61763.73,59290.01,59211.37,57983.72,73257.4,74083.49,67679.13,66076.26,75396.15,76886.02,82766.21,97555.47,69987.09,76396.78,80914.47,78769.78,73159.45,82748.38,90941.95,88446.67,76463.81,87657.75,98135.11,96173.03,98910.85,101657.32,101706.87,99057.55,51383.62,57844.6,64274.09,66382.13,61445.67,60581.9,62251.43,64738.64,72538.62,79246.58,79487.03,77325.59,86597.37,91639.2,96599.67,99961.42,74493.08,89360.75,99299.31,100444.12,76794.71,88118.4,99428.39,100466.51,98195.95,102874.16,100256.15,99221.12,98969.54,101389.77,100924.02,98796,0.75,7260222.61
400,0,346,37.5,289.72,75.01,232.28,112.28,800,0,746,37.5,689.72,75.01,632.28,112.28,1200,0,1146,37.5,1089.72,75.01,1032.28,112.28,1400,0,1346,37.5,1289.72,75.01,1232.28,112.28,600,200,546,237.5,489.72,275.01,432.28,312.28,800,200,746,237.5,689.72,275.01,632.28,312.28,1000,200,946,237.5,889.72,275.01,832.28,312.28,1200,200,1146,237.5,1089.72,275.01,1032.28,312.28,1400,200,1346,237.5,1289.72,275.01,1232.28,312.28,1000,400,946,437.5,889.72,475.01,832.28,512.28,200,600,146,637.5,89.72,675.01,32.28,712.28,400,600,346,637.5,289.72,675.01,232.28,712.28,600,600,546,637.5,489.72,675.01,432.28,712.28,800,600,746,637.5,689.72,675.01,632.28,712.28,800,800,746,837.5,689.72,875.01,632.28,912.28,1000,800,946,837.5,889.72,875.01,832.28,912.28,1200,800,1146,837.5,1089.72,875.01,1032.28,912.28,1400,800,1346,837.5,1289.72,875.01,1232.28,912.28,200,1000,146,1037.5,89.72,1075.01,32.28,1112.28,400,1000,346,1037.5,289.72,1075.01,232.28,1112.28,600,1000,546,1037.5,489.72,1075.01,432.28,1112.28,1000,1000,946,1037.5,889.72,1075.01,832.28,1112.28,600,1200,546,1237.5,489.72,1275.01,432.28,1312.28,1000,1200,946,1237.5,889.72,1275.01,832.28,1312.28,1400,1200,1346,1237.5,1289.72,1275.01,1232.28,1312.28,36655.33,37853.61,38514.83,40119.23,49521.72,45838.49,43634.74,40058.75,62658.28,60599.75,61680.64,60874.69,97921.02,90392.19,80640.27,73778.76,40924.65,43096.18,43858.78,43293.11,46997.75,48520.9,48445.79,47584.85,63463.46,63657.79,59798.16,53008.48,73109.07,79631.85,85809.21,82198.59,100223.56,99994.63,99366.61,92712.26,73392.64,68281.23,61848.58,57133.97,46776.18,52391.91,56646.07,58966.24,45817.91,53673.24,58006.76,57891.84,42592.81,48092.84,55527.07,59467.53,52631.49,49309.36,49237.08,50104.28,52927.59,58391.39,66726.9,72482.61,63244.1,66379.75,66003.83,62847.74,70230.38,76905.24,82025.49,83002.62,98762.84,99616.12,94526.35,87216.23,65696.85,80847.42,95625.09,100871.63,61410.8,69809.17,81061.92,88906.08,81444.59,82212.9,78266.85,75339.02,83861.02,81758.81,77763.92,74888.59,96953.07,102085.13,102230.74,99922.97,96600.22,102241.81,101415.45,99435.93,98593.24,101286.29,100934.24,98626.04,0.73,7015605.97
200,50,150,100,300,0,550,100,650,50,850,0,1100,0,1350,0,1250,0,1400,0,100,200,200,150,400,200,450,150,750,200,850,250,1000,200,1200,0,1300,250,1450,0,0,450,100,350,350,350,550,400,650,600,800,400,1000,300,1050,300,1250,350,1450,350,100,450,250,550,300,450,550,550,600,500,700,550,950,350,1150,650,1350,450,1400,350,50,750,150,700,250,700,750,800,600,750,750,550,1000,850,1050,600,1200,550,1450,700,0,900,150,900,250,800,450,750,550,800,800,750,950,650,1050,800,1250,800,1450,850,100,1050,150,950,350,950,500,950,800,1150,850,1050,1100,750,1000,950,1200,900,1450,950,0,1100,150,1150,350,1250,500,1100,600,1300,800,1050,1000,1050,1100,1150,1350,1150,1450,1150,50,1300,200,1250,300,1300,450,1250,650,1100,750,1300,950,1400,1050,1200,1250,1200,1400,1250,0,1400,200,1400,400,1400,550,1400,700,1400,800,1400,900,1450,1050,1300,1250,1450,1350,1400,40178.07,40287.09,41843.16,47461.86,47156.68,56967.63,69024.56,81639.1,86724.2,87976.6,40896.88,44583.73,46313.83,46996.46,49142.4,53975.55,60436.56,69999.37,74989.33,99770.48,48818.11,42770.75,48146.28,44498.29,57394.4,54817.96,63518.04,73295.45,81409.78,95813.9,47896.17,54830.06,50772.39,51353.42,46986.7,51553.38,61870.5,71891.2,87517.04,88399.55,53902.61,54412.63,55737.97,63462.12,62161.84,55905.31,68595.74,61210.41,77194.18,92925.45,60066.26,57568.42,60808.77,55418.13,63453.7,64206.58,59790.17,76117.01,81160.39,90068.5,64624.33,70123.67,66701.43,66219.18,82302.32,79174.8,70884.17,68210.25,78505.6,96199.2,73026.08,70244.31,83698.96,72321.5,87245.95,67680.32,67917.04,87089.43,85181.41,100436.91,93862.53,81489.56,91091.03,84202.53,72087.36,79342.67,100799.86,83573.26,85804.71,98355.38,100292.26,99954.09,101320.54,101287.6,98070.69,89774.33,99695.18,92050.23,97752.61,96744.01,0.74,7109420.42
800,0,746.18,37.5,689.75,75.02,632.43,112.2,1000,0,946.18,37.5,889.75,75.02,832.43,112.2,1250,0,1146.18,37.5,1089.75,75.02,1032.43,112.2,1400,0,1346.18,37.5,1289.75,75.02,1232.43,62.2,200,200,146.18,237.5,89.75,275.02,32.43,312.2,400,200,346.18,237.5,289.75,275.02,232.43,312.2,800,200,746.18,237.5,689.75,275.02,632.43,312.2,1200,200,1146.18,237.5,1089.75,275.02,1032.43,312.2,1400,200,1346.18,237.5,1289.75,275.02,1232.43,312.2,1000,400,946.18,437.5,889.75,475.02,832.43,512.2,1400,400,1346.18,437.5,1289.75,475.02,1132.43,512.2,1400,600,1346.18,637.5,1289.75,675.02,1232.43,712.2,200,800,146.18,837.5,89.75,875.02,32.43,1012.2,400,800,346.18,837.5,289.75,875.02,232.43,912.2,600,800,546.18,837.5,489.75,875.02,432.43,912.2,1000,800,946.18,837.5,889.75,875.02,832.43,912.2,200,1000,146.18,1037.5,89.75,1075.02,32.43,1112.2,1200,1000,1146.18,1037.5,1089.75,1125.02,1032.43,1112.2,1400,1000,1346.18,1037.5,1289.75,1075.02,1232.43,1112.2,200,1200,146.18,1237.5,89.75,1275.02,0,1312.2,400,1200,346.18,1237.5,289.75,1275.02,232.43,1400,600,1200,546.18,1237.5,489.75,1275.02,432.43,1312.2,800,1200,746.18,1237.5,689.75,1275.02,632.43,1312.2,1000,1200,946.18,1237.5,889.75,1275.02,832.43,1312.2,1200,1200,1146.18,1237.5,1089.75,1275.02,1032.43,1312.2,42564.98,44547.27,45940.22,45281.5,45332.63,46860.99,50082.25,52739.62,58236.84,53064.61,56580.41,49753.1,97641.28,88907.14,75505.74,60811.86,45079.47,48026.63,50673.23,49133.4,54636.65,56743.72,56220.86,54178.39,55198.61,55155.47,55886.46,55981.26,59970.39,63365.79,65792.56,65400.54,97607.43,90366.69,76746.29,67581.55,67261.3,69413.96,67254.54,63130.72,99163.63,89798.73,79316.95,70669.32,99943.58,100445.98,95300.17,87633.94,51036.99,54042.61,54235.52,53726.22,54121.05,59354.89,64826.73,65243.81,63076.53,68447.09,66430.18,65628.76,64791.62,62924.26,63272.43,64605.73,66819.43,66817.61,66542.65,70282.28,75576.73,78332.05,77068.06,66977.18,99303.83,101791.07,101315.84,99236.53,80220.76,91840.67,92698.3,97172.45,75180.52,89009.42,98465.51,96838.89,74873.02,89018.97,98743.61,100814.9,75159.43,89076.33,98513.77,101490.25,76450.54,88294.32,98874.6,100285.66,98932.12,101486.52,101062.07,99081.59,0.76,7286340.52
400,0,346,37.57,289.59,75.05,232.14,112.21,1200,0,1146,37.57,1089.59,75.05,1032.14,112.21,1400,0,1346,37.57,1289.59,75.05,1232.14,112.21,200,200,146,237.57,89.59,275.05,32.14,312.21,400,200,346,237.57,289.59,275.05,232.14,312.21,600,200,546,237.57,489.59,275.05,432.14,312.21,800,200,746,237.57,689.59,275.05,632.14,312.21,1000,200,946,237.57,889.59,275.05,832.14,312.21,1200,200,1146,237.57,1089.59,275.05,1032.14,312.21,1400,200,1346,237.57,1289.59,275.05,1232.14,312.21,200,400,146,437.57,89.59,475.05,32.14,512.21,1000,400,946,437.57,889.59,475.05,832.14,512.21,1200,400,1146,437.57,1089.59,475.05,1032.14,512.21,400,600,346,637.57,289.59,675.05,232.14,712.21,1200,600,1146,637.57,1089.59,675.05,1032.14,712.21,200,800,146,837.57,89.59,875.05,32.14,912.21,400,800,346,837.57,289.59,875.05,232.14,912.21,1000,800,946,837.57,889.59,875.05,832.14,912.21,1400,800,1346,837.57,1289.59,875.05,1232.14,912.21,200,1000,146,1037.57,89.59,1075.05,0,1112.21,400,1000,346,1037.57,289.59,1075.05,232.14,1112.21,200,1200,146,1237.57,89.59,1275.05,32.14,1312.21,600,1200,546,1237.57,489.59,1275.05,432.14,1312.21,800,1200,746,1237.57,689.59,1275.05,632.14,1312.21,1200,1200,1146,1237.57,1089.59,1275.05,1032.14,1312.21,43862.46,44895.84,47849.03,47952.75,61430.35,59667.52,58756.55,54299.39,98660.39,91091.62,80870.21,73896.75,49065.55,48733.11,46510.37,43597.77,54095,63980.22,65860.41,61539.77,48034.64,56941.3,65909.33,72464.91,43928.34,48055.21,56040.84,61101.78,52319.7,51628.86,50292.98,49299.07,72396.3,73202.65,69221.85,60500.8,99302.16,100558.15,100557.86,95203.25,55169.15,51102.89,48129.55,47108.42,57593.43,58439.78,64106.19,66486.88,89217.35,80420.6,68156.41,63201.03,73483.99,68806.85,61057.51,52608.71,80008.25,78331.61,81463.81,83037.76,49665.62,51552.75,54172.64,57430.17,71866.99,67220.77,62238.58,59156.45,87902.11,88982.08,84441.53,82543.03,99463.71,102061.07,101769.79,99268.78,63577.63,71298.2,74555.88,75983.91,68648.89,73203.6,80820.97,87657.59,96136.87,102362.19,102127.69,99590.73,77044.11,88678.47,98682.08,100813.27,96749.99,102220.38,101684.61,99415.45,99143.08,101443.08,101128.61,99077.71,0.75,7233286.26
200,0,146.12,37.45,89.72,74.86,32.29,112.15,400,0,346.12,37.45,289.72,74.86,232.29,112.15,600,0,546.12,37.45,489.72,74.86,432.29,112.15,1000,0,946.12,37.45,889.72,74.86,832.29,112.15,1050,0,1100,0,1150,0,1200,0,1250,1,1300,1,1350,1,1400,1,1000,200,946.12,237.45,889.72,274.86,832.29,312.15,1200,200,1146.12,237.45,1089.72,274.86,1032.29,312.15,1400,200,1346.12,237.45,1289.72,274.86,1232.29,312.15,200,400,146.12,437.45,89.72,474.86,32.29,512.15,400,400,346.12,437.45,289.72,474.86,232.29,512.15,800,400,746.12,437.45,689.72,474.86,632.29,512.15,1000,400,946.12,437.45,889.72,474.86,832.29,512.15,1200,400,1146.12,437.45,1089.72,474.86,1032.29,512.15,200,600,146.12,637.45,89.72,674.86,32.29,712.15,200,800,146.12,837.45,89.72,874.86,32.29,912.15,600,800,546.12,837.45,489.72,874.86,432.29,912.15,1400,800,1346.12,837.45,1289.72,874.86,1232.29,912.15,200,1000,146.12,1037.45,89.72,1074.86,32.29,1112.15,1200,1000,1146.12,1037.45,1089.72,1074.86,1032.29,1112.15,100,1200,146.12,1237.45,89.72,1274.86,32.29,1312.15,400,1200,346.12,1237.45,289.72,1274.86,232.29,1312.15,600,1200,546.12,1237.45,489.72,1274.86,432.29,1312.15,800,1200,746.12,1237.45,689.72,1274.86,632.29,1312.15,1000,1200,946.12,1237.45,889.72,1274.86,832.29,1312.15,44906.88,48252.11,49018.58,48366.08,46292.94,53244.74,57408.53,55661.83,47941.34,50766.41,54355.9,58128.94,54871.55,53655.68,48103.66,45737.91,56639.35,60204.49,64995.99,69974.05,72654.35,76946.48,82392.71,96646.94,55793.27,56673.64,57599.97,55462.58,73703.36,74387.77,73095.1,68153.52,99473.67,100639.39,100161.82,95193.37,50598.66,49923.96,48499.86,44727.86,65759.49,67135.3,64296.67,60399.9,61929.11,70271.63,75778.93,77758.87,65485.85,70843.13,75777.55,77220.49,90635.08,86880.69,81991.04,76875.28,57931.44,54636.11,51177.92,48538.51,63566.07,61556.25,57704.32,52853.4,72469.01,73142.16,68574.83,67665.62,98701.22,101906.24,101577.35,98708.09,66893.93,71199.21,66932.15,64979.98,99347.47,101774.44,101227.59,99269.17,67925.43,86400.97,99290.21,100043.22,74945.07,89008.53,99129.67,100094.17,75161.61,88385.66,99364.82,100176.07,77055.03,87930.92,98823.4,100723.4,98784.39,101140.57,100905.35,99256.42,0.76,7317171.59
