X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,qW,Total_Power
1,1,0,70,1,140,50,198,401,1,401,51,401,101,401,151,998,0,995.96,75.43,992.22,146.17,849,98,398,200,395.96,275.43,392.22,346.17,349,398,1000,200,995.96,275.43,1000,346.17,950,648,1,401,1,470,1,540,50,598,998,400,995.96,475.43,992.22,546.17,949,598,201,601,201,670,151,740,250,798,601,601,701,570,551,690,650,898,1,701,1,851,1,901,51,1000,398,800,395.96,875.43,392.22,946.17,349,998,798,800,795.96,875.43,792.22,946.17,749,998,0,1000,93963.49,85970.88,80886.23,76743.7,100009.42,91031.21,86650.77,84014.58,107604.82,103679.91,100483.16,92445.48,81606.71,83285.91,80986.01,78222.48,95083.85,96955.76,95936.31,88065.88,80306.01,78149.45,74211.61,69998.59,92804.04,94832.72,92457.71,88196.52,78172.2,73676.99,67782.62,68429.31,76992.48,80892.55,81164.79,75549.44,69694.1,72927.42,67790.84,69658.03,76438.31,71909.82,70674.49,70972.33,90957.03,90903.63,87876.82,79499.23,68880.39,0.78,4065416.61
598,0,595.82,77.69,593.7,150,549,198,798,0,795.82,77.69,793.7,150,749,198,998,0,995.82,77.69,993.7,150,949,198,198,200,195.82,277.69,193.7,350,149,398,998,200,995.82,277.69,993.7,350,949,398,798,400,795.82,477.69,793.7,550,749,598,998,400,995.82,477.69,993.7,550,949,598,598,600,595.82,677.69,593.7,750,549,798,998,600,995.82,677.69,993.7,750,949,798,198,800,195.82,877.69,193.7,950,149,998,798,800,795.82,877.69,793.7,950,749,998,998,800,995.82,877.69,993.7,950,949,998,0,1000,95305.15,84218.49,78566.43,75743.44,100411.19,89392.65,81450.25,74536.61,107480.25,102134.49,98720.06,77429.54,84338.99,78568.63,76904.56,73437.06,90725.71,89948.24,91144.35,73524.03,76343.6,75103.65,74442.89,71143.81,86733.15,88181.31,89835.82,70241.11,70575.57,70306.77,70233.85,66708.88,85135.48,86692.81,88614.02,69807.3,75587.85,73142.32,75539.99,75296.51,69970.71,68757.68,70665.5,69963.48,84511.25,85691.7,85211.51,76678.2,76119.53,0.76,3951216.37
198,0,197.46,75.19,192.94,150,87.64,198,398,0,397.46,75.19,392.94,150,287.64,198,798,0,797.46,75.19,792.94,150,687.64,198,198,200,197.46,275.19,192.94,350,87.64,398,998,200,997.46,275.19,992.94,350,887.64,398,398,400,397.46,475.19,392.94,550,287.64,598,998,400,997.46,475.19,992.94,550,887.64,598,198,600,197.46,675.19,192.94,750,87.64,798,798,600,797.46,675.19,792.94,750,687.64,798,1,801,1,870,1,940,50,998,598,800,597.46,875.19,592.94,950,487.64,998,998,800,997.46,875.19,992.94,950,887.64,998,0,1000,95247.77,84604.44,79589.51,74286.58,100757.83,91458.48,84488.69,76605.35,108361.49,102775.82,97979.22,87524.86,71913.48,73815.17,75516.8,74131.74,103139.68,97385.18,95735.4,80408.48,78991.64,76162.16,75922.33,71302.91,91737.28,91787.4,91012.06,83546.37,70636.96,71554.46,73849.76,71362.6,79213.54,82932.69,84020.32,74638.53,71895.62,71946.84,73004.42,70634.83,71642.72,73675.8,77808.44,73519.82,91436.35,88770.6,86632.78,77932.46,69343.12,0.78,4022640.78
598,0,596.97,69.41,592.69,143.8,549,198,398,200,396.97,269.41,392.69,343.8,349,398,998,200,996.97,269.41,992.69,343.8,949,398,398,400,396.97,469.41,392.69,543.8,349,598,598,400,596.97,469.41,592.69,543.8,549,598,798,400,796.97,469.41,792.69,543.8,749,598,798,600,796.97,669.41,792.69,743.8,749,798,998,600,996.97,669.41,992.69,743.8,949,798,198,800,196.97,869.41,192.69,943.8,149,998,398,800,396.97,869.41,392.69,943.8,349,998,598,800,596.97,869.41,592.69,943.8,549,998,998,800,996.97,869.41,992.69,943.8,949,998,0,1000,107081.99,100670.52,97990.82,90390.1,89234.47,84763.14,83974.05,71037.39,106649.52,100497.97,98272.38,92420.98,74023.38,68009.04,68259.55,66905.16,84375.62,74689.04,68990.22,62776.61,89114.18,87176.14,86485.31,66838.99,78592.6,72354.65,69562.57,65190.44,95617.01,89970.59,88315.25,69127.49,71989.5,66398.56,67730.74,69702.19,70754.91,66510.39,66801.68,66148.17,67788.98,68947.21,71668.05,69380.67,85191.27,84453.12,85300.41,78573.25,72527.16,0.75,3879223.41
198,0,197.18,79.83,192.97,150,89.53,198,398,0,397.18,79.83,392.97,150,289.53,198,998,0,997.18,79.83,992.97,150,889.53,198,198,200,197.18,279.83,192.97,350,89.53,398,398,200,397.18,279.83,392.97,350,289.53,398,798,200,797.18,279.83,792.97,350,689.53,398,998,200,997.18,279.83,992.97,350,889.53,398,798,400,797.18,479.83,792.97,550,689.53,598,998,600,997.18,679.83,992.97,750,889.53,798,198,800,197.18,879.83,192.97,950,89.53,998,598,800,597.18,879.83,592.97,950,489.53,998,998,800,997.18,879.83,992.97,950,889.53,998,0,1000,94355.93,83712.46,76365.07,70947.57,101188.04,91403.06,84930.06,70309.81,106916.53,102903.14,102681.82,87207.69,66477.44,65408.79,64827.66,68502.73,76945.59,71889.53,67925.73,64440.87,85222.46,81764.25,78436.02,70529.81,96545.01,95653.07,91939.08,81949.18,74227.59,80293.69,80862.13,73742.72,90129.39,88619.78,88179.56,71486.06,78820.61,75130.19,75206.76,75008.14,78050.82,78367.97,79075.06,74354.03,85254.75,86978.69,86951.65,77671.87,74901.38,0.77,3974691.24
1,198,50,198,100,198,150,198,201,1,201,70,201,140,250,198,601,1,601,51,601,101,601,151,998,0,996.79,73.55,997.18,147.45,949,198,601,201,601,251,601,301,601,351,1,401,1,451,1,501,1,551,998,400,996.79,473.55,997.18,547.45,949,598,1,601,1,651,1,701,1,751,801,601,801,670,801,740,850,798,1,801,1,870,1,940,50,998,398,800,396.79,873.55,397.18,947.45,349,998,998,800,996.79,873.55,997.18,947.45,949,998,0,1010,72200.52,70831.29,71362.72,72894.51,95578.51,87039.25,82332.39,77582.32,102402.67,94305,90577.88,88808.33,107150.58,103593.81,100287.92,93045.04,87041.18,85845.76,85118.01,81693.87,80712.79,76937,76403.28,76915,97597.16,93972.89,91754.84,86013.47,76982.06,76043.79,74799.27,73320.99,82999.82,84763.61,85336.57,81271.39,72533.37,74787.87,73814.26,71665.99,78596.17,74777.95,75328.19,72050.55,92155.56,89410.09,87942.24,82359.52,69035.9,0.79,4079797.83
1,1,1,51,1,101,1,151,201,1,201,70,201,140,250,198,798,0,795.76,77.94,791.75,150,689.76,198,1000,0,995.76,77.94,991.75,150,889.76,198,598,200,595.76,277.94,591.75,350,489.76,398,1,401,1,470,0,540,50,598,998,400,995.76,477.94,991.75,550,889.76,598,198,600,195.76,677.94,191.75,750,89.76,798,1,801,1,870,1,940,100,998,398,800,395.76,877.94,391.75,950,289.76,998,798,800,795.76,877.94,791.75,950,689.76,998,998,800,995.76,877.94,991.75,950,889.76,998,0,1010,93466.61,80128.81,75485.83,73986.52,99083.95,88716.41,80934.78,78071.25,100065.73,92592.58,87613.49,84996.86,107051.92,102566.98,98258.18,88582.13,84567.26,83733.69,83477.38,79255.71,86151.68,81236.67,78176.49,75087.77,97023.82,94900.29,91620.56,84120.22,83957.72,78984.93,76261.53,73060.31,72523.24,70455.59,70877.61,68355.34,79529.05,73363.66,72962.61,72127.91,86935.13,81673.12,75518.03,72098.41,95282.82,91836.15,89015.04,78888.07,70585.62,0.79,4085226.51
198,0,197.07,77.74,193.36,150,81.43,198,401,1,401,51,401,101,401,151,798,0,797.07,77.74,793.36,150,681.43,198,998,0,997.07,77.74,993.36,150,881.43,198,1,201,1,270,1,340,50,398,998,200,997.07,277.74,993.36,350,881.43,398,1,401,1,470,1,540,50,598,998,400,997.07,477.74,993.36,550,881.43,598,401,601,401,670,401,740,450,798,1,801,1,870,1,940,50,998,798,800,797.07,877.74,793.36,950,681.43,998,998,800,997.07,877.74,993.36,950,881.43,998,0,1000,91108.48,80434.37,76390.25,76719.84,97264.47,85669.1,78806.95,75172.47,100223.93,91964.71,83567.98,77882.84,107546.36,102093.84,99183.95,80453.63,77151.13,75282.21,77981.89,73317.04,93126.92,92515.89,91387.25,77125.61,69989.56,74013.85,75534.85,71131.4,88784.77,89984.47,89886.11,83267.7,81886.65,78809.46,76743.59,71932.92,78174.33,75506.3,76854.8,74026.43,86177.58,79847.12,73892.13,71010.17,94043.19,91767.36,88520.67,77036.55,70366.73,0.78,4050966.82
1,1,1,51,1,101,1,151,401,1,401,70,401,140,450,198,998,0,997.07,78.02,997.07,147.51,949,198,1,201,1,270,1,340,50,398,998,200,997.07,278.02,997.07,347.51,949,398,398,400,397.07,478.02,397.07,547.51,349,598,998,400,997.07,478.02,997.07,547.51,949,598,1,601,1,670,1,740,50,798,801,601,801,670,801,740,850,798,1,801,1,870,1,940,50,998,598,800,597.07,878.02,597.07,947.51,549,998,998,800,997.07,878.02,997.07,947.51,949,998,0,1010,96271.45,85545.57,81635.72,79068.91,100982.59,93896.59,90338.8,84559.73,107213.2,103661.84,102742.64,84030.66,77576.88,79039.84,78102.03,75303.01,94549.99,95067.47,96759.26,80277.27,82764.49,78286.05,75286,71388.18,90625.02,92250.4,92506.07,86879.56,77015.3,73955.71,74165.53,69667.51,83756.57,84103.03,85045.71,79393.98,67147.99,71421.17,74475.56,71514.54,75202.73,76111.56,76611.16,73413.93,93984.55,90438.29,87075.96,80420.92,68315.45,0.79,4089153.82
1,0,1,51,1,101,1,151,598,0,597.07,78.26,592.89,150,482.16,198,998,0,997.07,78.26,992.89,150,882.16,198,1,201,1,270,1,340,50,398,798,200,797.07,278.26,792.89,350,582.16,398,151,351,201,470,201,540,250,598,798,400,797.07,478.26,792.89,550,682.16,598,1,601,1,670,1,740,50,798,801,601,801,651,801,701,801,751,398,800,397.07,878.26,392.89,950,282.16,998,798,800,797.07,878.26,792.89,950,682.16,998,998,800,997.07,878.26,992.89,950,882.16,998,0,1010,98239.72,87365.44,83396.45,81387.62,101883.96,94114.5,88646.37,84002.77,107035.5,103343.63,100523.79,92742.38,79782.56,79414.65,77152.94,71636.8,87584.79,89552.77,93464.79,81261.9,80091.53,74913.73,74839.99,72045.44,90176.89,92081.41,92065.28,75354.59,73621.21,70988.42,71545.7,67461.39,89329.61,86834.35,84638.81,82049.18,72686.48,71927.09,71855.46,70196.14,77599.47,77954.45,73582.59,72067.42,92248.4,88625.62,86784.88,76929.11,75504.04,0.78,4068196.33
