support,itemsets,itemset_size
0.25551601423487547,whole milk,1
0.1934926283680732,other vegetables,1
0.18393492628368074,rolls/buns,1
0.17437722419928825,soda,1
0.13950177935943062,yogurt,1
0.11052364006100661,bottled water,1
0.10899847483477376,root vegetables,1
0.10493136756481952,tropical fruit,1
0.09852567361464158,shopping bags,1
0.09395017793594305,sausage,1
0.08896797153024912,pastry,1
0.08276563294356888,citrus fruit,1
0.08052872394509406,bottled beer,1
0.07981698017285206,newspapers,1
0.07768174885612608,canned beer,1
0.07564819522114896,pip fruit,1
0.07483477376715811,"other vegetables, whole milk",2
0.0722928317234367,fruit/vegetable juice,1
0.07168276563294357,whipped/sour cream,1
0.06487036095577021,brown bread,1
0.06344687341128623,domestic eggs,1
0.058973055414336555,frankfurter,1
0.05856634468734113,margarine,1
0.05805795627859685,coffee,1
0.05765124555160142,pork,1
0.05663446873411286,"rolls/buns, whole milk",2
0.05602440264361973,"whole milk, yogurt",2
0.05541433655312659,butter,1
0.05327910523640061,curd,1
0.05246568378240976,beef,1
0.05236400610066091,napkins,1
0.04961870869344179,chocolate,1
0.048906964921199794,"root vegetables, whole milk",2
0.04809354346720895,frozen vegetables,1
0.047381799694966954,"other vegetables, root vegetables",2
0.04341637010676157,"other vegetables, yogurt",2
0.04290798169801729,chicken,1
0.042602948652770714,"other vegetables, rolls/buns",2
0.04229791560752415,"tropical fruit, whole milk",2
0.042094560244026434,white bread,1
0.040061006609049314,"soda, whole milk",2
0.03965429588205389,cream cheese,1
0.038434163701067614,waffles,1
0.03833248601931876,"rolls/buns, soda",2
0.03782409761057448,salty snack,1
0.037417386883579054,long life bakery product,1
0.03711235383833249,dessert,1
0.035892221657346214,"other vegetables, tropical fruit",2
0.03436705643111337,"rolls/buns, yogurt",2
0.03436705643111337,"bottled water, whole milk",2
0.03385866802236909,sugar,1
0.03345195729537367,uht-milk,1
0.033248601931875954,berries,1
0.033248601931875954,"pastry, whole milk",2
0.033248601931875954,hamburger meat,1
0.03294356888662939,hygiene articles,1
0.032740213523131674,"other vegetables, soda",2
0.032231825114387394,"whipped/sour cream, whole milk",2
0.031011692933401117,onions,1
0.030604982206405694,"rolls/buns, sausage",2
0.030503304524656837,"citrus fruit, whole milk",2
0.03040162684290798,specialty chocolate,1
0.030096593797661414,"pip fruit, whole milk",2
0.029994916115912557,"domestic eggs, whole milk",2
0.0298932384341637,candy,1
0.0298932384341637,"sausage, whole milk",2
0.029283172343670564,"tropical fruit, yogurt",2
0.028978139298423997,"bottled water, soda",2
0.02887646161667514,"other vegetables, whipped/sour cream",2
0.02887646161667514,"citrus fruit, other vegetables",2
0.02836807320793086,misc. beverages,1
0.02836807320793086,frozen meals,1
0.02806304016268429,oil,1
0.027961362480935434,butter milk,1
0.02755465175394001,"butter, whole milk",2
0.027351296390442297,specialty bar,1
0.027351296390442297,"soda, yogurt",2
0.027351296390442297,"newspapers, whole milk",2
0.026944585663446874,"other vegetables, sausage",2
0.026639552618200304,"fruit/vegetable juice, whole milk",2
0.026131164209456024,"other vegetables, pip fruit",2
0.026131164209456024,"curd, whole milk",2
0.026029486527707167,beverages,1
0.026029486527707167,ham,1
0.025826131164209457,meat,1
0.025826131164209457,"root vegetables, yogurt",2
0.02521606507371632,"brown bread, whole milk",2
0.025012709710218607,ice cream,1
0.024809354346720894,"bottled water, other vegetables",2
0.024605998983223184,"rolls/buns, tropical fruit",2
0.024605998983223184,"shopping bags, soda",2
0.024504321301474327,hard cheese,1
0.024504321301474327,"shopping bags, whole milk",2
0.024504321301474327,sliced cheese,1
0.024300965937976614,"sausage, soda",2
0.024300965937976614,"rolls/buns, root vegetables",2
0.024199288256227757,"margarine, whole milk",2
0.024199288256227757,"bottled water, rolls/buns",2
0.023284189120488054,cat food,1
0.023182511438739197,"other vegetables, shopping bags",2
0.023182511438739197,"other vegetables, root vegetables, whole milk",3
0.022979156075241484,"bottled water, yogurt",2
0.02257244534824606,"other vegetables, pastry",2
0.022369089984748347,grapes,1
0.02226741230299949,"other vegetables, whole milk, yogurt",3
0.02226741230299949,"domestic eggs, other vegetables",2
0.022165734621250637,"pork, whole milk",2
0.021657346212506354,"citrus fruit, yogurt",2
0.021657346212506354,"other vegetables, pork",2
0.02125063548551093,"beef, whole milk",2
0.021047280122013217,chewing gum,1
0.021047280122013217,"fruit/vegetable juice, other vegetables",2
0.021047280122013217,"root vegetables, tropical fruit",2
0.021047280122013217,"pastry, soda",2
0.02094560244026436,"pastry, rolls/buns",2
0.020843924758515507,"soda, tropical fruit",2
0.02074224707676665,"whipped/sour cream, yogurt",2
0.020538891713268937,"frankfurter, whole milk",2
0.02043721403152008,"bottled beer, whole milk",2
0.02043721403152008,"frozen vegetables, whole milk",2
0.02043721403152008,"pip fruit, tropical fruit",2
0.020030503304524657,"butter, other vegetables",2
